MSZoning,LotArea,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,ExterQual,Foundation,BsmtQual,TotalBsmtSF,CentralAir,Electrical,GrLivArea,FullBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageCond,SaleType,SaleCondition,SalePrice
RL,25419,2Story,8,1918,1990,Gd,PConc,TA,1360,Y,SBrkr,3112,2,4,1,8,1,2,TA,WD,Abnorml,235000
RM,5520,2.5Fin,6,1912,1950,TA,CBlock,TA,755,Y,SBrkr,2229,1,5,1,8,0,0,NA,WD,Abnorml,104000
RL,9591,1Story,8,2004,2005,Gd,PConc,Ex,1713,Y,SBrkr,1713,2,3,1,7,1,3,TA,WD,Normal,274900
RM,8546,1Story,4,2003,2004,TA,PConc,Gd,1121,Y,SBrkr,1121,2,2,1,5,0,2,TA,WD,Normal,140000
RL,10125,1Story,6,1977,1977,TA,CBlock,TA,1196,Y,SBrkr,1279,2,3,1,6,2,2,TA,WD,Normal,171500
RL,7000,1.5Fin,6,1924,1950,TA,BrkTil,Fa,617,Y,SBrkr,1310,2,2,1,6,0,1,TA,COD,Normal,112000
RM,4438,1Story,6,2004,2004,Gd,PConc,Gd,848,Y,SBrkr,848,1,1,1,3,1,2,TA,WD,Normal,149000
RM,3500,1.5Fin,5,1947,1950,TA,CBlock,TA,720,Y,SBrkr,1284,1,2,1,5,0,1,TA,WD,Normal,110000
RL,11851,1Story,7,1990,1990,TA,PConc,Gd,1424,Y,SBrkr,1442,2,3,1,5,0,2,TA,WD,Normal,180500
RL,13673,1Story,5,1962,1962,TA,CBlock,TA,1140,Y,SBrkr,1696,1,3,1,8,1,1,TA,WD,Normal,143900
RL,12493,1Story,4,1960,1960,TA,PConc,TA,1100,Y,SBrkr,1100,1,3,1,6,1,1,TA,WD,Normal,141000
RL,14364,2Story,7,1988,1989,Gd,CBlock,Gd,1157,Y,SBrkr,2062,2,3,1,7,1,2,TA,WD,Normal,277000
RL,8250,1Story,6,1964,1964,TA,CBlock,Gd,1092,Y,SBrkr,1092,1,3,1,6,0,2,Gd,WD,Normal,145000
RL,5604,1Story,5,1925,1950,TA,CBlock,TA,864,N,FuseA,864,1,2,1,5,0,0,NA,WD,Normal,98000
RL,10420,1Story,6,2009,2009,TA,PConc,Gd,1212,Y,SBrkr,1212,2,3,1,6,0,2,TA,WD,Normal,186000
FV,8640,2Story,7,2009,2009,TA,PConc,Gd,900,Y,SBrkr,1852,2,3,1,7,1,2,TA,New,Partial,252678
RL,13568,1Story,5,1995,1995,TA,PConc,Gd,990,Y,SBrkr,990,1,3,1,5,0,2,TA,WD,Normal,156000
RL,10900,2Story,6,1977,1977,TA,CBlock,Gd,689,Y,SBrkr,1392,1,3,1,6,0,1,TA,WD,Normal,161750
RL,10011,1Story,5,1957,1996,TA,CBlock,TA,1070,Y,SBrkr,1236,1,2,1,6,1,1,TA,WD,Normal,134450
RL,8450,1Story,7,2004,2004,Gd,PConc,Gd,1436,Y,SBrkr,1436,2,3,1,8,0,2,TA,WD,Normal,210000
RM,9906,2Story,4,1925,1950,TA,CBlock,TA,686,N,SBrkr,1328,1,3,1,8,0,1,TA,WD,Family,107000
RL,15660,1.5Fin,7,1939,2006,Gd,CBlock,TA,798,Y,SBrkr,1954,1,3,1,8,2,2,TA,WD,Normal,311500
RL,3010,1Story,7,2005,2006,Gd,PConc,Gd,1248,Y,SBrkr,1248,2,2,1,5,0,2,TA,New,Partial,167240
RL,8990,1Story,7,2006,2006,Gd,PConc,Gd,1498,Y,SBrkr,1498,2,2,1,5,0,2,TA,New,Partial,204900
RL,8068,2Story,6,2002,2002,Gd,PConc,Gd,1010,Y,SBrkr,2267,2,4,1,8,1,2,TA,ConLI,Normal,200000
RL,11475,2Story,6,1975,1975,TA,CBlock,Gd,713,Y,SBrkr,1552,2,3,1,6,1,2,TA,WD,Normal,179900
RL,10500,1Story,4,1971,1971,TA,CBlock,TA,864,Y,SBrkr,864,1,2,1,4,0,2,TA,WD,Abnorml,97000
RL,13472,1Story,10,2003,2003,Ex,PConc,Ex,2392,Y,SBrkr,2392,2,3,1,8,1,3,TA,WD,Normal,386250
RM,1680,2Story,5,1971,1971,TA,CBlock,TA,630,Y,SBrkr,1302,2,3,1,6,0,1,TA,COD,Abnorml,112000
RL,9950,2Story,7,1995,1995,Gd,PConc,Gd,1203,Y,SBrkr,2520,2,4,1,9,1,3,TA,WD,Abnorml,290000
RM,1869,2Story,6,1970,1970,TA,CBlock,TA,483,Y,SBrkr,987,1,2,1,5,0,1,TA,WD,Normal,106000
RL,8521,1Story,5,1967,1967,TA,CBlock,TA,912,Y,SBrkr,912,1,3,1,5,1,1,TA,WD,Normal,125000
RL,3182,1Story,7,2005,2006,Gd,PConc,Gd,1373,Y,SBrkr,1555,2,2,1,7,1,2,TA,WD,Normal,192500
RL,8760,1Story,6,1959,1959,TA,CBlock,TA,1194,Y,SBrkr,1194,1,3,1,6,0,1,TA,WD,Normal,148000
RL,15138,2Story,8,1995,1996,Gd,PConc,Gd,1462,Y,SBrkr,2794,2,4,1,9,1,3,TA,WD,Normal,403000
RM,1680,2Story,6,1972,1972,TA,CBlock,TA,483,Y,SBrkr,987,1,2,1,5,1,1,TA,WD,Normal,94500
RL,10650,1Story,5,1976,1976,TA,CBlock,TA,894,Y,SBrkr,894,1,3,1,5,0,1,TA,WD,Normal,128200
RL,7851,2Story,6,2002,2002,Gd,PConc,Gd,860,Y,SBrkr,1960,2,4,1,8,2,2,TA,WD,Normal,216500
RM,1680,2Story,6,1971,1971,TA,CBlock,TA,483,Y,SBrkr,987,1,2,1,5,0,1,TA,WD,Normal,89500
RL,8773,1Story,7,2004,2004,Gd,PConc,Gd,1414,Y,SBrkr,1414,2,3,1,6,0,2,TA,WD,Normal,185500
RL,9453,2Story,7,1993,2003,Gd,PConc,Gd,996,Y,SBrkr,1744,2,3,1,7,0,2,TA,WD,Normal,194500
RL,12030,1Story,8,2007,2007,Ex,PConc,Ex,1694,Y,SBrkr,1694,2,3,1,7,0,3,TA,New,Partial,318000
RL,8741,1.5Fin,6,1945,1950,TA,CBlock,TA,735,Y,FuseA,1487,1,3,1,7,1,1,TA,WD,Normal,113000
FV,9000,1Story,8,2008,2008,Gd,PConc,Gd,1566,Y,SBrkr,1566,2,3,1,7,0,2,TA,WD,Normal,262500
RM,3880,1Story,5,1945,1997,TA,CBlock,TA,686,Y,SBrkr,866,1,2,1,4,0,0,NA,WD,Normal,110500
RM,5000,1.5Fin,5,1900,1950,TA,BrkTil,TA,540,N,FuseA,1440,1,3,1,6,0,1,TA,WD,Normal,79000
RL,10762,2Story,6,1980,1980,TA,CBlock,Gd,626,Y,SBrkr,1217,1,3,1,6,1,1,TA,WD,Normal,120000
RL,8880,2Story,7,1994,2002,Gd,PConc,Gd,948,Y,SBrkr,2110,2,3,1,8,2,2,TA,WD,Normal,205000
RL,10400,1Story,7,1988,1988,TA,CBlock,Gd,1845,Y,SBrkr,1872,2,3,1,6,1,2,TA,WD,Normal,241500
RM,9142,2Story,6,1910,1950,TA,Stone,Fa,1020,N,FuseP,1928,2,4,2,9,0,1,Po,WD,Normal,137000
RL,11310,1Story,6,1954,1954,TA,CBlock,TA,1367,Y,SBrkr,1375,1,2,1,5,1,2,TA,WD,Normal,140000
RL,11317,2Story,7,2003,2003,Gd,PConc,Gd,840,Y,SBrkr,1668,2,3,1,8,0,2,TA,WD,Normal,180000
RL,159000,1.5Fin,6,1958,2006,Gd,CBlock,Gd,1444,Y,SBrkr,2144,2,4,1,7,2,2,TA,WD,Normal,277000
RL,5350,1Story,3,1940,1966,TA,CBlock,TA,728,Y,SBrkr,1306,1,3,1,6,0,0,NA,WD,Normal,76500
RM,4750,1Story,8,2006,2007,Gd,PConc,Gd,1573,Y,SBrkr,1625,2,2,1,5,1,2,TA,WD,Family,235000
RL,8366,2Story,6,2004,2004,Gd,PConc,Gd,798,Y,SBrkr,1640,2,3,1,6,0,2,TA,WD,Normal,173000
RL,9350,SLvl,6,1964,1991,TA,CBlock,Gd,1302,Y,SBrkr,1302,2,3,1,7,0,1,TA,CWD,Normal,158000
RL,8400,1Story,5,1957,1957,TA,CBlock,TA,1314,Y,SBrkr,1314,1,3,1,5,0,1,TA,WD,Normal,145000
RL,8738,2Story,7,1999,1999,Gd,PConc,Gd,975,Y,SBrkr,2291,2,4,1,8,1,2,TA,WD,Normal,230000
FV,8791,2Story,6,2003,2003,Gd,PConc,Gd,864,Y,SBrkr,1728,2,3,1,7,0,2,TA,WD,Normal,207500
RL,8814,1Story,7,2006,2006,Gd,PConc,Gd,1604,Y,SBrkr,1604,2,3,1,8,1,2,TA,WD,Abnorml,220000
RL,12435,2Story,7,2001,2001,Gd,PConc,Gd,963,Y,SBrkr,1792,2,3,1,7,1,2,TA,WD,Normal,231500
RM,12702,1Story,5,1956,1956,TA,PConc,NA,0,Y,FuseA,882,1,2,1,4,0,1,TA,WD,Normal,97000
RL,19296,SLvl,6,1962,1962,TA,CBlock,TA,1362,Y,SBrkr,1382,1,3,1,6,1,2,TA,WD,Normal,176000
RL,9588,2Story,8,2007,2007,Gd,PConc,Ex,1482,Y,SBrkr,2574,2,3,1,10,1,3,TA,New,Partial,276000
RL,8471,SLvl,6,1977,1995,TA,CBlock,Gd,506,Y,SBrkr,1212,1,3,1,6,1,2,TA,WD,Normal,151000
RM,5500,1.5Fin,5,1929,2001,TA,BrkTil,TA,926,Y,SBrkr,1316,1,3,1,6,0,2,TA,WD,Normal,130000
RM,5232,1Story,5,1925,2004,TA,BrkTil,Fa,680,N,FuseP,764,1,2,1,4,0,2,TA,WD,Normal,73000
RL,12090,1Story,6,1981,1981,TA,CBlock,Gd,1422,Y,SBrkr,1422,2,3,1,7,1,2,TA,WD,Normal,175500
RL,11207,2Story,6,1997,1997,TA,PConc,Gd,802,Y,SBrkr,1511,2,3,1,8,1,2,TA,WD,Normal,185000
RL,8400,2.5Fin,5,1939,1997,TA,PConc,TA,720,Y,SBrkr,2192,2,4,1,8,1,1,TA,WD,Normal,179500
RM,6900,1Story,5,1940,1955,TA,CBlock,TA,740,Y,SBrkr,778,1,2,1,4,1,1,Ex,WD,Normal,120500
RL,7917,1Story,6,1976,1976,TA,CBlock,TA,1143,Y,SBrkr,1113,1,3,1,6,1,1,Gd,WD,Normal,148000
FV,10728,2Story,8,2006,2006,Gd,PConc,Gd,1095,Y,SBrkr,1939,2,3,1,8,1,3,TA,New,Partial,266000
RL,39104,1Story,7,1954,2005,TA,CBlock,Gd,1385,Y,SBrkr,1363,1,2,1,5,2,2,TA,WD,Normal,241500
RL,11764,2Story,8,1999,2007,Gd,PConc,Gd,1152,Y,SBrkr,2270,2,4,1,9,1,3,TA,WD,Normal,290000
RL,9600,1Story,6,1958,1988,TA,CBlock,TA,1240,Y,SBrkr,1632,2,3,1,6,1,1,TA,WD,Normal,139000
RL,8314,1Story,5,1982,1982,TA,CBlock,TA,816,Y,SBrkr,816,1,2,1,5,0,1,TA,WD,Normal,124500
RL,7264,1.5Fin,7,1925,2007,Gd,BrkTil,TA,952,N,SBrkr,1548,2,3,1,5,0,2,TA,WD,Normal,205000
RL,9196,1Story,7,2003,2003,Gd,PConc,Ex,1560,Y,SBrkr,1560,2,3,1,7,0,2,TA,WD,Normal,201000
RL,19138,1Story,4,1951,1951,TA,CBlock,TA,864,Y,SBrkr,864,1,2,1,4,0,2,TA,WD,Normal,141000
RL,14450,1Story,9,2006,2007,Ex,PConc,Ex,2121,Y,SBrkr,2121,2,3,1,8,1,3,TA,New,Partial,415298
RL,10005,2Story,7,1977,1977,TA,CBlock,Gd,1160,Y,SBrkr,2022,2,4,1,8,1,2,TA,WD,Normal,192000
RL,11287,2Story,7,1989,1989,Gd,CBlock,Gd,807,Y,SBrkr,1982,2,3,1,7,1,2,TA,WD,Normal,228500
FV,7200,1Story,6,2006,2006,Gd,PConc,Gd,1262,Y,SBrkr,1262,2,2,1,5,0,2,TA,New,Partial,185000
RL,5063,1Story,7,2007,2008,Gd,PConc,Gd,1314,Y,SBrkr,1314,2,2,1,6,1,2,TA,ConLw,Normal,207500
RL,9612,1Story,8,2008,2009,Gd,PConc,Gd,1468,Y,SBrkr,1468,2,3,1,6,1,3,TA,New,Partial,244600
RL,8012,1Story,6,1992,1992,Gd,PConc,Gd,1575,Y,SBrkr,1575,2,2,1,5,0,2,TA,WD,Normal,179200
FV,4251,2Story,7,2006,2007,Gd,PConc,Gd,625,Y,SBrkr,1250,2,2,1,5,0,2,TA,New,Partial,164700
RL,9786,1.5Fin,6,1962,1981,TA,CBlock,TA,912,Y,SBrkr,1734,1,3,1,7,1,2,TA,WD,Normal,159000
RL,8125,1Story,4,1971,1971,TA,CBlock,TA,858,Y,SBrkr,858,1,3,1,5,0,0,NA,WD,Normal,88000
RL,9819,1Story,5,1967,1967,TA,CBlock,TA,882,Y,SBrkr,900,1,3,1,5,0,1,TA,WD,Normal,122000
RL,8730,2Story,6,1915,2003,TA,BrkTil,TA,698,Y,FuseA,1396,1,3,1,7,0,1,TA,WD,Normal,153575
RL,15611,2Story,8,2006,2006,Gd,PConc,Gd,1079,Y,SBrkr,1919,2,3,1,8,1,2,TA,New,Partial,233230
RL,5687,2Story,5,1912,2000,TA,PConc,TA,780,N,SBrkr,1716,2,6,1,9,0,0,NA,WD,Normal,135900
RL,11409,1.5Fin,5,1949,2008,TA,CBlock,TA,768,Y,SBrkr,1716,1,3,1,8,1,1,TA,WD,Normal,131000
RL,16659,2Story,7,1977,1994,TA,CBlock,TA,795,Y,SBrkr,2263,2,3,1,9,1,2,TA,WD,Normal,235000
RL,9600,1Story,6,1953,1953,TA,CBlock,TA,1416,Y,SBrkr,1644,1,3,1,7,2,2,TA,WD,Normal,167000
RL,7937,SLvl,6,1984,1984,TA,CBlock,TA,1003,Y,SBrkr,1003,1,3,1,6,0,2,TA,WD,Normal,142500
RM,13710,1.5Fin,5,1950,1950,TA,CBlock,TA,910,Y,FuseA,1558,1,4,1,6,0,1,TA,WD,Normal,152000
FV,7399,2Story,7,1997,1998,Gd,PConc,Gd,975,Y,SBrkr,1950,2,3,1,7,1,2,TA,WD,Normal,239000
RL,11700,2Story,6,1968,1968,Gd,CBlock,TA,702,Y,SBrkr,1743,1,3,1,7,1,2,TA,WD,Normal,175000
RL,14000,1Story,6,1950,2004,TA,CBlock,TA,1092,Y,SBrkr,1152,1,3,1,6,1,1,TA,WD,Family,158500
RL,15750,1Story,5,1953,1953,TA,CBlock,TA,1165,Y,SBrkr,1336,1,2,1,5,2,1,TA,WD,Normal,157000
RL,16226,2Story,8,1998,1999,Gd,PConc,Gd,1028,Y,SBrkr,2452,2,4,1,9,1,2,TA,WD,Normal,267000
RL,13704,1Story,7,2001,2002,Gd,PConc,Gd,1541,Y,SBrkr,1541,2,3,1,6,1,3,TA,WD,Normal,205000
RL,9800,1Story,5,1972,1972,TA,PConc,TA,894,Y,SBrkr,894,1,3,1,5,0,2,TA,WD,Abnorml,149900
RM,18386,2.5Fin,7,1880,2002,TA,BrkTil,TA,1470,Y,SBrkr,3493,3,3,1,10,1,3,TA,WD,Normal,295000
RL,10386,1Story,8,2004,2005,Gd,PConc,Gd,2000,Y,SBrkr,2000,2,3,1,8,0,3,TA,WD,Normal,305900
RL,13474,2Story,7,1990,1991,Gd,CBlock,Gd,700,Y,SBrkr,2243,2,4,1,8,1,3,TA,WD,Normal,225000
RM,7920,1.5Fin,6,1920,1950,TA,CBlock,TA,319,Y,FuseA,1406,1,3,1,6,0,0,NA,WD,Normal,89500
RL,12342,1Story,4,1940,1950,TA,CBlock,TA,861,Y,SBrkr,861,1,1,1,4,0,2,TA,WD,Normal,82500
RL,12378,1Story,9,2003,2004,Gd,PConc,Ex,1896,Y,SBrkr,1944,2,3,1,8,3,3,TA,WD,Normal,360000
RL,7685,2Story,6,1993,1994,TA,PConc,Gd,697,Y,SBrkr,1501,2,3,1,6,1,2,TA,WD,Normal,165600
RL,8000,1Story,6,1948,2002,TA,CBlock,TA,972,Y,SBrkr,972,1,2,1,5,1,1,TA,WD,Normal,132000
RM,7800,1.5Fin,5,1939,1950,TA,CBlock,Gd,793,Y,SBrkr,1118,1,3,1,5,1,2,TA,WD,Normal,119900
RL,215245,1Story,7,1965,1965,TA,CBlock,Gd,2136,Y,SBrkr,2036,2,3,1,8,2,2,TA,WD,Normal,375000
RM,9600,2Story,7,1925,1990,TA,BrkTil,TA,728,Y,SBrkr,1641,1,3,1,6,1,2,TA,WD,Normal,178000
RL,7795,2Story,7,2004,2005,Gd,PConc,Gd,716,Y,SBrkr,1432,2,3,1,6,1,2,TA,WD,Normal,188500
RL,13005,2Story,7,1980,1980,Gd,CBlock,Gd,845,Y,SBrkr,2353,2,4,1,10,1,2,TA,WD,Normal,260000
FV,9000,2Story,8,2006,2006,Gd,PConc,Gd,1088,Y,SBrkr,1959,2,3,1,8,1,3,TA,WD,Normal,270000
RL,9900,2Story,7,1993,1993,Gd,PConc,Gd,1347,Y,SBrkr,2646,2,4,1,9,1,3,TA,WD,Normal,260000
RL,14115,SLvl,7,1980,1980,TA,CBlock,Gd,1372,Y,SBrkr,1472,2,3,1,6,2,2,TA,WD,Normal,187500
RL,16259,2Story,9,2006,2006,TA,PConc,Ex,1249,Y,SBrkr,2596,3,4,1,9,0,3,TA,New,Partial,342643
RL,12099,2Story,8,2004,2004,Gd,PConc,Ex,1136,Y,SBrkr,2468,2,4,1,10,1,3,TA,WD,Normal,354000
RL,10380,2Story,7,1986,1987,Gd,CBlock,TA,1502,Y,SBrkr,2730,2,4,1,8,1,2,TA,WD,Normal,301000
RM,5820,1Story,3,1955,2005,TA,CBlock,TA,1162,Y,SBrkr,1163,1,3,1,6,0,1,TA,WD,Normal,126175
RL,11275,SLvl,7,1967,2007,Gd,CBlock,Gd,710,Y,SBrkr,2978,2,5,1,11,1,2,TA,WD,Normal,242000
RM,5000,1.5Unf,5,1941,1950,TA,CBlock,TA,720,N,FuseF,803,1,2,1,5,0,2,TA,WD,Normal,87000
RL,10846,1Story,8,1993,1993,Gd,PConc,Gd,1719,Y,SBrkr,1719,1,1,1,6,2,2,TA,Con,Normal,324000
RL,11600,1Story,6,1960,1960,TA,CBlock,TA,1383,Y,SBrkr,1383,1,3,1,7,0,1,TA,WD,Normal,145250
RL,11888,2.5Unf,6,1916,1994,TA,BrkTil,TA,844,N,FuseA,2134,2,5,1,10,0,2,TA,WD,Normal,214500
RM,6402,2Story,5,1920,1950,TA,PConc,TA,596,N,SBrkr,1192,1,3,1,6,0,1,Fa,WD,Normal,78000
RL,10624,1Story,5,1964,1964,TA,CBlock,TA,1728,Y,SBrkr,1728,2,6,2,10,0,1,TA,WD,Normal,119000
RL,8176,1Story,5,1958,1992,TA,CBlock,TA,1056,Y,SBrkr,1056,1,3,1,6,0,1,TA,WD,Normal,139000
RL,10655,1Story,8,2003,2004,Gd,PConc,Gd,3206,Y,SBrkr,1629,2,3,1,7,1,3,TA,WD,Normal,284000
RM,8198,1Story,7,2004,2004,Gd,PConc,Gd,1358,Y,SBrkr,1358,2,2,1,6,1,2,TA,WD,Normal,207000
RL,9042,2Story,6,1998,1998,TA,PConc,Gd,943,Y,SBrkr,1638,2,3,1,7,2,2,TA,WD,Normal,192000
RL,164660,1.5Fin,5,1965,1965,TA,CBlock,TA,1499,Y,SBrkr,1786,2,3,1,7,2,2,TA,WD,Normal,228950
RL,14157,1Story,9,2005,2006,Gd,PConc,Ex,1922,Y,SBrkr,1922,2,3,1,8,1,3,TA,WD,Normal,377426
RL,9135,1Story,7,2002,2003,Gd,PConc,Gd,1536,Y,SBrkr,1536,2,3,1,7,0,2,TA,WD,Normal,214000
RL,14145,1Story,7,1984,1998,Gd,CBlock,Gd,1208,Y,SBrkr,1621,2,3,1,8,0,2,TA,WD,Normal,202500
RL,12400,1Story,6,1958,1998,TA,CBlock,TA,1215,Y,FuseA,1215,1,3,1,6,0,1,TA,WD,Normal,155000
RL,14191,2Story,8,2002,2002,Gd,PConc,Gd,967,Y,SBrkr,1908,2,4,1,9,0,2,TA,WD,Normal,202900
RH,8400,1Story,4,1950,1950,Fa,CBlock,TA,721,Y,SBrkr,841,1,2,1,4,0,1,TA,WD,Normal,82000
RL,8544,1Story,3,1949,1950,TA,Slab,NA,0,N,FuseA,1040,2,2,2,6,0,2,TA,WD,Normal,87500
RL,8849,1Story,9,2005,2005,Ex,PConc,Ex,1684,Y,SBrkr,1684,2,2,1,6,1,2,TA,WD,Normal,266000
RM,2592,2Story,5,1976,1976,TA,CBlock,Gd,536,Y,SBrkr,1112,1,3,1,4,0,1,TA,WD,Normal,85000
RL,6435,1.5Fin,6,1939,1950,TA,BrkTil,TA,972,Y,SBrkr,1577,1,3,1,6,1,1,TA,WD,Normal,140200
RL,12772,1Story,6,1960,1998,TA,CBlock,TA,958,Y,SBrkr,958,1,2,1,5,0,1,TA,WD,Normal,151500
RL,17600,1Story,6,1960,1960,TA,CBlock,TA,1478,Y,FuseA,1478,2,3,1,6,2,2,TA,WD,Normal,157500
RL,2448,2Story,7,2003,2004,Gd,PConc,Gd,764,Y,SBrkr,1626,2,2,1,6,0,2,TA,WD,Normal,154000
RL,20431,2Story,9,2005,2006,Ex,PConc,Ex,1848,Y,SBrkr,2728,2,4,1,10,2,3,TA,New,Partial,437154
RL,7820,1Story,9,2007,2007,Ex,PConc,Ex,1869,Y,SBrkr,1869,2,2,1,6,1,2,TA,New,Partial,318061
RL,5271,1Story,7,1986,1986,TA,PConc,Gd,1453,Y,SBrkr,1453,1,2,1,6,1,2,TA,WD,Abnorml,190000
RL,9084,1.5Fin,5,1941,1950,TA,CBlock,TA,616,N,SBrkr,1111,1,3,1,5,0,1,Fa,ConLw,Normal,95000
RM,8520,1Story,6,1928,2003,TA,BrkTil,TA,624,Y,SBrkr,720,1,2,1,5,0,2,TA,WD,Normal,105900
RL,8400,1.5Fin,6,1940,2000,TA,CBlock,TA,940,Y,SBrkr,1595,1,2,1,6,2,1,TA,WD,Normal,140000
RL,11249,1Story,6,1995,1995,Gd,PConc,Gd,1200,Y,SBrkr,1200,2,3,1,6,0,2,TA,WD,Normal,177500
RL,9248,1Story,6,1992,1992,TA,PConc,Gd,1158,Y,SBrkr,1167,2,3,1,6,0,2,TA,WD,Normal,173000
RM,4224,1Story,5,1976,1976,TA,PConc,Gd,1142,Y,SBrkr,1142,1,3,1,6,1,2,TA,WD,Normal,134000
RL,6930,SLvl,5,1958,1958,TA,CBlock,TA,1062,Y,FuseF,1352,1,3,1,6,0,1,TA,WD,Abnorml,130000
RL,12011,2Story,8,1998,1998,Gd,PConc,Gd,1086,Y,SBrkr,1924,2,3,1,7,1,2,TA,WD,Normal,280000
RL,7540,SFoyer,6,1978,1978,TA,CBlock,Gd,888,Y,SBrkr,912,1,2,1,5,1,2,TA,WD,Normal,156000
RL,9144,1.5Fin,5,1940,1982,TA,CBlock,TA,883,Y,SBrkr,1505,1,3,1,8,0,1,TA,WD,Normal,145000
RL,7301,SFoyer,7,2003,2003,Gd,Slab,NA,0,Y,SBrkr,1922,3,4,1,7,1,2,TA,ConLD,Normal,198500
RM,1680,2Story,6,1972,2007,TA,CBlock,TA,483,Y,SBrkr,987,1,2,1,5,0,1,TA,WD,Normal,118000
RL,18800,2Story,6,1976,1976,TA,PConc,Gd,796,Y,SBrkr,1574,2,3,1,6,1,2,TA,WD,Normal,190000
RM,10690,2Story,5,1920,1997,TA,CBlock,TA,672,Y,FuseA,1344,1,3,1,6,0,1,Fa,WD,Normal,147000
RL,9500,1Story,6,1963,1963,TA,CBlock,Gd,1394,Y,SBrkr,1394,1,3,1,6,2,2,TA,WD,Normal,159000
RL,9150,SLvl,6,1962,1962,TA,CBlock,Gd,1099,Y,SBrkr,1431,1,3,1,6,1,1,TA,WD,Normal,165000
RL,7800,1Story,5,1954,1954,TA,PConc,TA,1268,Y,SBrkr,1268,1,2,1,7,1,1,TA,WD,Normal,132000
RL,9830,1Story,5,1959,2006,TA,CBlock,TA,1063,Y,SBrkr,1287,1,3,1,7,1,2,TA,WD,Normal,162000
RL,8121,2Story,6,2000,2000,TA,PConc,Gd,953,Y,SBrkr,1664,2,3,1,7,1,2,TA,WD,Normal,172400
RL,17120,1.5Fin,4,1959,1959,TA,CBlock,NA,0,Y,SBrkr,1588,2,4,1,7,1,2,TA,WD,Normal,134432
RL,7175,1Story,6,1984,1984,TA,CBlock,Gd,744,Y,SBrkr,752,1,2,1,4,0,1,TA,WD,Normal,125000
RL,10634,1Story,5,1953,1953,TA,PConc,TA,608,Y,SBrkr,1319,1,3,1,5,0,1,TA,WD,Normal,123000
RL,8200,2Story,7,2003,2004,Gd,PConc,Gd,847,Y,SBrkr,1928,2,4,1,8,1,2,TA,WD,Normal,219500
RL,10020,1Story,1,1922,1950,Fa,BrkTil,Fa,683,N,FuseA,904,0,1,1,4,0,0,NA,WD,Normal,61000
RL,8846,SFoyer,5,1996,1996,Gd,PConc,Gd,870,Y,SBrkr,914,1,2,1,5,0,2,TA,WD,Normal,148000
FV,11143,2Story,8,2004,2005,Gd,PConc,Gd,1580,Y,SBrkr,2466,3,4,1,8,1,2,TA,WD,Normal,340000
RL,11394,1Story,9,2010,2010,Gd,PConc,Ex,1856,Y,SBrkr,1856,1,1,1,8,1,3,TA,New,Partial,394432
RL,8123,2Story,6,2000,2000,TA,PConc,Gd,982,Y,SBrkr,1800,2,3,1,7,1,2,TA,WD,Normal,179000
RL,5000,1.5Fin,5,1924,1950,TA,BrkTil,TA,1026,Y,SBrkr,1691,2,3,1,6,1,1,TA,WD,Normal,127000
FV,7200,1Story,7,2006,2006,Gd,PConc,Gd,1293,Y,SBrkr,1301,2,2,1,5,1,2,TA,New,Partial,187750
RL,9245,2Story,7,2006,2006,Gd,PConc,Gd,939,Y,SBrkr,1797,2,3,1,8,0,2,TA,WD,Normal,213500
RH,9000,1.5Unf,6,1928,1950,TA,BrkTil,Fa,784,N,FuseA,784,1,2,1,5,0,2,Fa,WD,Normal,76000
RL,53107,2Story,6,1992,1992,Gd,PConc,Gd,1580,Y,SBrkr,1953,2,3,1,9,2,2,TA,WD,Normal,240000
RL,3182,1Story,8,2004,2005,Gd,PConc,Gd,1256,Y,SBrkr,1269,2,2,1,6,1,2,TA,WD,Normal,192000
RL,8410,1.5Fin,5,1910,1996,TA,PConc,TA,658,Y,SBrkr,1184,1,5,1,8,0,0,NA,WD,AdjLand,81000
RL,7200,SLvl,6,1976,1976,TA,CBlock,TA,1041,Y,SBrkr,1125,1,3,1,6,1,1,TA,WD,Abnorml,125000
RL,9382,1Story,7,1999,2000,Gd,PConc,Gd,1468,Y,SBrkr,1479,2,3,1,6,0,2,TA,WD,Normal,191000
RL,12474,2Story,10,2007,2008,Ex,PConc,Ex,1682,Y,SBrkr,2332,2,3,1,9,1,3,TA,New,Partial,426000
RL,8405,1.5Fin,5,1900,1950,TA,BrkTil,TA,861,Y,SBrkr,1367,1,4,1,7,0,1,TA,WD,Normal,119000
RL,12209,2Story,6,2001,2002,TA,PConc,Ex,804,Y,SBrkr,1961,2,3,1,7,1,2,TA,WD,Normal,215000
RL,8339,1Story,5,1959,1959,TA,Slab,NA,0,Y,SBrkr,882,1,3,1,5,0,1,TA,WD,Normal,106500
RL,7446,1Story,4,1941,1950,TA,CBlock,TA,788,Y,FuseA,788,1,2,1,4,2,0,NA,WD,Abnorml,100000
RL,10134,1.5Fin,5,1940,1950,TA,CBlock,TA,735,Y,FuseA,1034,1,2,1,5,0,1,TA,WD,Normal,109000
RL,9571,1Story,5,1956,1956,TA,CBlock,TA,1144,Y,SBrkr,1144,1,3,1,6,0,1,TA,WD,Normal,129000
